Simulation,Tau,Mu,M_n
347,626,571,22
348,392,968,66
349,22,17,3
350,994,651,13
351,658,466,30
352,392,724,30
353,334,854,36
354,236,110,10
355,452,558,32
356,848,140,7
357,978,638,36
358,4,996,45
359,748,138,8
360,688,964,31
361,1000,439,11
362,982,67,5
363,286,990,30
364,988,42,6
365,342,268,23
366,148,82,9
367,48,5,1
368,492,645,38
369,726,583,15
370,10,0,0
371,70,935,31
372,196,890,36
373,856,345,14
374,966,916,36
375,302,874,59
376,984,224,10
377,336,209,9
378,150,6,2
379,230,132,9
380,460,379,14
381,44,23,4
382,0,0,0
383,996,908,37
384,966,494,20
385,506,656,58
386,950,79,9
387,368,158,8
388,714,531,44
389,892,486,15
390,6,997,23
391,318,303,17
392,138,61,4
393,420,203,16
394,912,67,7
395,300,938,25
396,28,991,26
397,126,986,37
398,400,823,55
399,12,990,43
400,534,635,50
401,756,376,20
402,712,822,27
403,290,89,12
404,992,343,17
405,786,419,23
406,1000,318,16
407,844,609,22
408,6,997,54
409,664,200,8
410,416,364,18
411,934,91,16
412,412,593,32
413,746,900,30
414,988,672,16
415,168,944,37
416,806,903,30
417,54,964,43
418,1000,99,8
419,52,978,50
420,106,941,51
421,974,90,8
422,648,643,53
423,968,980,42
424,2,998,52
425,10,1,1
426,982,40,9
427,138,130,12
428,16,9,3
429,790,578,28
430,848,501,21
431,454,423,16
432,990,514,19
433,972,806,25
434,32,26,6
435,578,622,33
436,610,366,20
437,326,10,2
438,18,8,2
439,870,737,19
440,866,388,17
441,0,0,0
442,280,91,8
443,988,445,18
444,724,572,30
445,908,659,22
446,70,991,66
447,38,994,95
448,966,801,40
449,2,0,0
450,582,421,33
451,886,652,18
452,8,0,0
453,850,544,19
454,646,638,29
455,94,958,60
456,220,904,46
457,18,11,3
458,670,35,5
459,664,650,27
460,536,947,47
461,998,821,26
462,710,948,37
463,948,904,36
464,334,200,9
465,260,136,8
466,706,525,41
467,166,976,47
468,994,688,29
469,666,161,15
470,384,981,59
471,824,624,20
472,76,18,4
473,936,42,7
474,638,311,12
475,758,722,39
476,972,735,37
477,226,211,14
478,234,789,46
479,208,901,50
480,46,954,110
481,80,0,0
482,786,303,24
483,560,464,30
484,716,200,15
485,844,382,18
486,922,401,22
487,968,163,8
488,1000,14,4
489,966,565,22
490,0,0,0
491,714,386,33
492,584,135,11
493,126,93,7
494,4,3,2
495,64,6,3
496,6,0,0
497,86,60,8
498,380,329,17
499,490,12,2
500,952,104,18
501,230,834,30
502,854,485,17
503,956,457,18
504,962,284,15
505,52,957,59
506,560,926,33
507,350,655,30
508,634,484,21
509,714,4,1
510,10,7,2
511,726,289,26
512,932,509,29
513,996,542,30
514,556,510,20
515,778,117,6
516,214,57,5
517,260,106,7
518,384,340,16
519,0,0,0
520,70,62,9
521,198,914,32
522,814,277,11
523,104,3,1
524,494,173,6
525,414,599,51
526,108,912,50
527,470,78,8
528,928,927,44
529,82,945,53
530,876,223,16
531,1000,304,26
532,868,407,33
533,438,387,22
534,758,129,14
535,374,760,36
536,990,879,28
537,454,315,22
538,274,63,4
539,212,1,1
540,124,990,69
541,308,849,52
542,998,989,38
543,290,278,15
544,234,829,37
545,246,846,60
546,16,3,1
547,968,441,13
548,716,279,14
549,988,493,26
550,982,808,19
551,332,719,49
552,0,0,0
553,152,146,9
554,982,231,13
555,758,369,21
556,138,79,9
557,658,528,46
558,292,212,16
559,262,98,6
560,844,225,15
561,2,1,1
562,10,7,3
563,660,390,18
564,1000,710,37
565,986,341,18
566,524,290,24
567,990,919,25
568,4,997,63
569,936,64,7
570,104,957,34
571,0,1000,31
572,738,324,29
573,158,929,44
574,410,811,38
575,676,971,28
576,0,0,0
577,938,909,40
578,88,38,8
579,1000,18,2
580,56,36,4
581,306,180,19
582,824,306,20
583,74,948,55
584,4,1,1
585,902,268,23
586,532,490,20
587,738,147,9
588,430,953,34
589,516,989,33
590,492,60,3
591,0,0,0
592,446,9,3
593,264,89,8
594,634,468,14
595,580,250,12
596,450,568,48
597,448,946,30
598,820,125,10
599,98,951,44
600,96,971,42
601,928,80,5
602,148,913,39
603,972,78,13
604,266,117,13
605,160,899,83
606,166,130,14
607,194,850,29
608,636,506,15
609,84,7,2
610,756,469,39
611,972,193,7
612,520,20,2
613,496,806,38
614,658,886,46
615,208,15,2
616,122,919,36
617,996,351,19
618,786,542,32
619,910,11,2
620,424,882,34
621,160,52,5
622,66,15,3
623,1000,299,14
624,786,122,7
625,106,1,1
626,200,17,4
627,788,433,13
628,12,4,2
629,1000,967,39
630,998,169,14
631,286,99,9
632,112,36,5
633,890,713,23
634,752,334,50
635,0,0,0
636,734,829,32
637,902,215,12
638,840,743,27
639,0,0,0
640,536,434,25
641,356,911,30
642,850,64,5
643,654,598,29
644,136,1,1
645,908,538,26
646,686,485,25
647,488,519,32
648,782,55,6
649,978,517,12
650,942,140,10
651,962,718,50
652,880,441,18
653,152,947,54
654,18,983,83
655,208,843,45
656,736,716,38
657,968,500,23
658,720,991,35
659,844,351,20
660,0,0,0
661,802,602,23
662,266,774,51
663,958,603,24
664,58,18,6
665,8,995,66
666,22,998,27
667,888,275,17
668,24,991,44
669,196,84,7
670,60,5,3
671,970,292,12
672,496,609,70
673,192,845,26
674,976,337,17
675,986,42,5
676,0,1000,71
677,4,996,39
678,998,429,13
679,212,936,47
680,930,465,13
681,756,267,11
682,810,270,19
683,578,477,22
684,806,229,24
685,284,725,49
686,406,235,13
687,994,761,27
688,6,997,57
689,996,488,20
690,958,986,26
691,2,998,64
692,224,174,12
693,1000,672,19
694,172,967,51
695,56,54,8
696,530,733,27
697,812,898,27
698,890,241,13
699,798,655,17
700,480,535,27
701,846,242,14
702,622,451,22
703,396,368,27
704,750,708,25
705,222,19,3
706,190,810,62
707,656,80,6
708,304,875,18
709,468,246,15
710,2,1,1
711,26,990,49
712,946,211,11
713,988,354,11
714,884,247,10
715,454,569,40
716,228,195,24
717,180,99,9
718,752,681,23
719,354,16,3
720,998,815,25
721,420,27,4
722,592,328,19
723,176,827,40
724,12,3,1
725,128,60,5
726,210,833,55
727,920,25,4
728,890,411,16
729,840,673,22
730,124,885,61
731,66,936,111
732,334,679,43
733,994,845,30
734,376,869,49
735,634,411,19
736,840,542,17
737,862,784,32
738,194,808,39
739,742,671,30
740,990,223,9
741,266,987,45
742,84,926,31
743,986,607,19
744,834,393,26
745,50,952,54
746,258,253,25
747,236,8,2
748,802,620,19
749,928,128,10
750,454,884,38
751,796,842,25
752,88,9,2
753,472,254,16
754,840,372,17
755,606,334,24
756,1000,761,28
757,1000,680,23
758,184,943,60
759,806,211,11
760,836,83,7
761,6,1,1
762,632,703,33
763,62,969,61
764,110,21,5
765,616,926,29
766,8,4,2
767,598,195,11
768,436,998,62
769,8,0,0
770,898,102,7
771,932,463,22
772,614,798,43
773,876,100,10
774,892,435,25
775,968,645,30
776,950,831,29
777,696,389,19
778,264,752,57
779,756,767,28
780,46,956,71
781,220,967,49
782,118,963,53
783,442,983,49
784,640,624,37
785,0,1000,32
786,218,132,10
787,420,304,15
788,958,62,9
789,918,403,15
790,414,626,45
791,150,73,5
792,174,873,45
793,668,294,13
794,736,665,23
795,698,222,14
796,58,33,6
797,514,599,63
798,268,211,19
799,578,428,37
800,2,998,40
801,548,951,68
802,540,288,14
803,178,863,55
804,702,238,19
805,670,469,24
806,962,952,25
807,252,839,63
808,932,503,20
809,998,22,3
810,888,329,13
811,4,998,38
812,136,70,6
813,76,928,38
814,942,123,8
815,528,295,15
816,452,26,3
817,302,766,43
818,994,656,20
819,0,1000,34
820,212,13,3
821,58,943,47
822,8,0,0
823,8,2,1
824,670,457,29
825,992,869,28
826,0,0,0
827,0,1000,40
828,38,20,2
829,84,977,57
830,982,689,41
831,518,975,28
832,750,169,11
833,902,599,19
834,996,901,29
835,186,840,65
836,742,934,52
837,846,152,11
838,982,395,18
839,106,9,2
840,602,428,17
841,716,799,30
842,870,724,24
843,506,816,49
844,824,582,26
845,952,894,24
846,302,703,49
847,948,10,2
848,444,334,23
849,762,453,47
850,676,759,23
851,864,834,30
852,676,593,31
853,38,983,66
854,24,12,3
855,842,826,42
856,116,927,30
857,578,33,3
858,1000,1,1
859,392,644,57
860,434,265,14
861,96,33,3
862,0,0,0
863,762,599,24
864,16,0,0
865,632,409,46
866,298,936,41
867,994,7,4
868,346,745,36
869,990,45,5
870,494,398,16
871,1000,911,24
872,144,36,5
873,64,974,50
874,48,956,52
875,542,143,8
876,716,325,24
877,956,360,20
878,868,30,4
879,344,66,5
880,0,1000,54
881,62,939,60
882,908,303,17
883,612,164,10
884,852,904,34
885,820,568,23
886,780,412,19
887,996,121,8
888,538,388,18
889,426,391,26
890,602,115,8
891,580,865,30
892,934,791,33
893,966,591,20
894,990,619,27
895,40,3,1
896,998,491,19
897,216,58,7
898,172,830,42
899,572,137,10
900,804,602,36
901,452,618,22
902,56,996,52
903,716,500,24
904,978,11,2
905,4,998,47
906,638,798,28
907,50,961,58
908,566,2,1
909,270,74,5
910,106,960,41
911,632,294,12
912,312,24,6
913,760,412,15
914,598,518,25
915,1000,955,25
916,412,402,24
917,0,0,0
918,792,678,36
919,888,600,21
920,692,277,14
921,894,478,20
922,116,952,38
923,472,917,60
924,966,227,10
925,44,29,5
926,218,927,58
927,962,581,32
928,36,989,33
929,862,216,30
930,968,489,16
931,18,1,1
932,954,315,17
933,696,381,23
934,812,403,25
935,974,647,20
936,444,389,17
937,2,0,0
938,846,455,19
939,70,41,8
940,836,686,17
941,864,311,11
942,50,953,45
943,218,96,7
944,438,91,7
945,994,641,22
946,1000,960,34
947,796,441,14
948,26,24,5
949,930,110,10
950,160,953,46
951,860,549,26
952,744,819,22
953,674,648,29
954,314,43,5
955,710,819,22
956,116,85,10
957,844,778,30
958,856,333,22
959,664,546,14
960,64,31,5
961,846,950,48
962,102,63,6
963,604,284,11
964,496,848,34
965,552,231,20
966,996,26,4
967,998,887,35
968,22,996,60
969,688,588,26
970,946,896,33
971,910,231,16
972,490,282,11
973,470,182,8
974,960,600,22
975,352,266,12
976,922,230,18
977,984,852,28
978,12,6,3
979,266,902,39
980,752,625,26
981,108,938,31
982,630,644,28
983,526,838,33
984,348,318,20
985,604,356,27
986,920,359,12
987,818,394,12
988,784,262,12
989,166,995,47
