Simulation,Supremum_Mt,Final_Wt
42,0.5233973506651122,-4.297264179001742
43,0.8836191065157211,-2.1532257653892395
44,2.5478856651400896,1.901505287073122
45,2.3647265697127207,1.9191233971562887
46,3.364505476829197,1.7737340607058742
47,0.5523103102038982,-1.4434137733460168
48,1.7587996531204244,-3.2207191032942712
49,1.5283260655435555,-1.7932206589195645
50,1.9543452528521639,0.7941723644680364
51,0.2758580588877363,-3.218490644080997
52,4.585769120821137,1.6639820793398574
53,6.565694484757251,5.592118694251617
54,3.941977080232595,3.3854327259144013
55,8.34173584244294,6.169302324029122
56,2.4159923039635856,-3.7344267784807994
57,5.985505118595404,4.459549739818697
58,0.4609184846343769,-3.0752232231330865
59,6.295483503620538,4.129510535856381
60,2.250425482693554,1.7231927741895938
61,1.0745889079827553,-1.5431152884145858
62,4.0253031072400765,2.0241008681136
63,2.0225608196351406,0.7329752613522793
64,2.254243185696759,1.610672841656572
65,1.877887568813795,-0.9281190670753542
66,1.4837621739324964,0.92116538588409
67,0.7648972855397449,-0.8080615742628887
68,0.0,-6.0899775663731255
69,3.50771273255061,3.50771273255061
70,0.0805997607132875,-5.406641223342956
71,1.4104067781155585,-4.832788300103802
72,2.541670823894794,0.9653659398649073
73,0.7286931700242029,0.3238521828237901
74,3.520423700093231,1.474481503673409
75,4.875437663434277,3.7447164623743334
76,4.183813761482122,0.8111640659942041
77,2.3040981946219836,1.1981414336596574
78,3.814163806995129,3.3975495066027626
79,3.225720838665685,1.5840261251374774
80,3.7784385777795424,2.8535999513348482
81,5.927847314557625,5.607110755992919
82,6.008211080374906,4.554622013369114
83,0.5161977408296547,-4.270916844792496
84,1.3712528654617777,-2.283604098507111
85,1.264386312756423,0.11259758421466165
86,0.7495864192149432,-2.3023741846851404
87,5.626528958218936,1.1562455656489476
88,2.150154310372032,1.468282787793293
89,1.2209353582544735,-1.6589924895753145
90,5.022366673934632,3.0829510453466256
91,4.13805697666157,3.6239750594702986
92,5.019151240930441,5.019151240930441
93,4.442768732378541,2.5995453576600296
94,2.0572948657122008,-0.49309005305486064
95,1.8087534455831742,-1.098863271574841
96,2.191664522409576,1.6467776423905274
97,3.816665791452245,2.716410774197705
98,2.878026391188305,1.3116730252483997
99,1.9492774423225205,1.5585135883565826
100,7.88170379082076,6.084150211356597
101,0.5478953054517117,-4.494174995849117
102,4.4679368473766665,1.4021699559118712
103,0.38496015707088266,-4.769884895874109
104,3.230633499066113,0.3193775271384571
105,5.842394129010403,5.492208024722274
106,0.6614884728349613,-0.8186661727699627
107,2.4649235547113353,1.8522870105628497
108,5.8731763111116795,4.715974134661398
109,4.584669498100862,2.7183661321009014
110,2.6413621126309383,-2.8916495180029544
111,0.2172429478887536,-4.380758632541454
112,3.9053270821489487,3.06550429358614
113,1.4517237952412585,-1.6927387920210264
114,0.5596300695971314,-3.9581690142430355
115,0.05013055320259009,-4.71498050769046
116,1.7474876783516637,-4.030762472369961
117,0.40009320435429585,-1.3572732920152542
118,5.811645832524285,5.787794023590914
119,8.295802028192384,7.821957689897552
120,2.934859899175207,1.3060160767814577
121,5.101707291503312,3.3745507975832587
122,0.6027837467363548,-3.9944129248149887
123,1.7717434724898404,0.7929150565685581
124,1.468433578393708,-5.090061058307977
125,1.700495494968239,-4.906139627573342
126,0.8368067480154036,-2.48721208424019
127,0.49419996968949775,-7.359906984683512
128,0.3595836997089728,-3.669940023301095
129,1.3891893733816907,1.2516304521761075
130,0.4762412409339958,-0.8603597332795931
131,7.434404559958668,7.316691881384134
132,0.052266434214557525,-0.8675892476262903
133,3.8309807101914846,1.7152055588576998
134,5.904825742943601,4.287760469264127
135,0.0,-4.110143486139719
136,3.8461620388601347,2.9368634505578344
137,3.145716258337692,2.1429903325248785
138,1.028219425236253,-3.3790120195201805
139,4.852286810459618,3.8259983729634683
140,0.9953107754955288,-0.9217094347554148
141,0.09094013916066329,-4.575555923217434
142,4.852747149093177,3.0873735833201
143,1.0693526684781325,-0.21982470762870066
144,3.8282540612782805,0.4568739682090796
145,5.300444882176155,4.264602214906449
146,2.4668302230042687,-3.617384839397541
147,1.524317451672678,-1.0021612618103934
148,4.8256544469599225,3.1001708975030002
149,3.261023833241308,0.1391317719644265
150,2.3210025038867643,0.5123129216086902
151,0.4200258047764929,-0.6995689949471535
152,0.6694080861557581,-2.708120033058631
153,1.1078439711449442,-0.5423625418313969
154,1.0360468598633803,-5.636435986621782
155,1.5935923937497436,-2.332527547275995
156,0.464712947246727,-3.070107208253824
157,3.1629862955990053,1.5218719055140406
158,2.1222852545096833,1.4341514397589423
159,1.9502500019061018,-0.15144274004348002
160,8.822567785385816,8.197665480489363
161,2.9939616394075275,2.9939616394075275
162,1.91651873256776,0.29037483597699176
163,1.8122223597774045,-0.5326207188211731
164,3.5475647769818806,0.6058652882558284
165,4.922314806036039,3.844450168741896
166,5.757419987280353,5.216667939828173
167,6.277229047091693,5.03348062227605
168,0.10439763965311034,-5.071013377828372
169,2.587829785048181,1.8381278945192467
170,2.3500563515062476,-1.9409573094362966
171,1.9963053291712385,-2.084346240058997
172,2.407918326231303,-0.7539422765497354
173,1.2384059407533137,-0.6015509424970866
174,0.3463249549178403,-3.040449633013079
175,0.48832472253422604,-2.6624488742661017
176,1.3186671214946422,-0.23116557929387116
177,0.8508718353912325,-4.48586354130294
178,5.560840693180971,2.541031933650071
179,1.6910719875599003,-3.2546754988264968
180,0.5796951752471768,-3.1694425753559745
181,2.112612541682515,0.2942616713637134
182,0.03364557773490917,-0.9391009547984169
183,3.547247229013692,1.85414470362259
184,5.929478578119066,5.1284582400215575
185,1.024206462914224,-4.95730939396865
186,0.8312310457453324,0.8312310457453324
187,0.7148084760032662,-1.5650460596445428
188,2.6353445575437857,2.4995999040662005
189,3.3089514543797782,1.5462010024533341
190,1.8459108372713855,0.07467933468254823
191,4.17278993191068,-0.4148147530574617
192,4.102913560541865,3.2081064152955214
193,4.058479779507108,1.1167571702839256
194,0.04979288155455993,-2.6548790404662066
195,0.16562946018848568,-4.29860796519781
196,3.086835555415067,2.824913119763498
197,2.382126189861988,-0.10733958875026575
198,2.793890582044017,-0.011793870173183375
199,2.3462369235387683,-0.8152287959789872
200,3.118007096512224,-2.823594542709146
201,0.8957669856529771,-3.156309488535864
202,5.477403257869866,4.439781048375353
203,4.179217478299923,3.250140717937034
204,1.1495886362876417,-0.1604942717886172
205,3.7360948930808906,1.8476943120945182
206,3.5823577354859237,2.4366054987052337
207,2.447449678292426,-0.18512107969501804
208,4.7750344917493,4.490341932856392
209,3.6366499405441117,-0.5384532529350948
210,2.5226805334108002,0.33244559668012263
211,2.2571840951922812,0.9038188399722553
212,2.9911294342575188,2.600100760156281
213,0.13362230900429128,-5.313653062445276
214,4.260284388693028,2.797243431172481
215,1.96336259610658,-3.145069289769202
216,0.55982747728472,-1.0284019181809092
217,4.296011430298573,4.293222114983521
218,1.309980816290026,-1.4626222304813712
219,4.610993646114127,4.107026356440673
220,3.173359764192872,1.775828226746047
221,2.075926752098156,-3.651216738115556
222,2.5569206027524185,0.4900725816860594
223,0.0,-3.7319385691364477
224,4.570971321186098,2.129133080486323
225,2.599285666833966,-0.9317126717403179
226,1.2705926337878892,-4.047645043220286
227,2.4779614621558763,0.13344447422753328
228,2.4000777083153917,-0.78655013856279
229,0.0,-3.9458395326627227
230,0.0,-2.346110269890282
231,1.0913493269169823,-0.5116943595246534
232,0.32956309124494093,-1.5106691718241942
233,2.5801972856274284,2.198780147563743
234,6.837991508065887,5.425144881864269
235,3.066957599627942,1.5740582153762057
236,0.6033303518948935,-3.841197104814757
237,0.8738791054363665,0.8195510723088755
238,1.3410976325261585,-1.333581643328841
239,3.5312348400614875,2.880602866521014
240,1.8770072756053542,-2.075501231472145
241,1.6359302080496039,1.6359302080496039
242,2.378077048935361,1.6684489530571533
243,5.036511790702776,4.105955046977676
244,0.9003915193744401,-0.42980130632103747
245,1.2758391515599437,0.6970708406312908
246,0.4777844657992528,-0.13156044636138295
247,1.9542303887378174,1.4754506043230031
248,3.6565341693118207,2.9276690458473063
249,4.521906783311219,3.8093459874536872
250,2.6083344274144915,-1.1396638104459849
251,3.221591845652335,2.6319410618993535
252,2.7837591070599284,2.7013710460514586
253,0.5160481966711321,-1.5192178254106383
254,1.3985250089365686,-0.44953796665039136
255,3.8920377490534963,-0.10039293149753893
256,0.8536237855122437,-1.6129366126161917
257,2.320694056586843,1.3804325795681398
258,4.241653738866447,1.3442099628415682
259,0.08033654165520006,-7.705362657822314
260,4.775325994984845,2.5442943187866374
261,1.1642000788444489,-1.4108894629133302
262,0.6506596447839932,-3.977374342978424
263,0.6714561418024924,-0.7281085921761858
264,5.747453629797124,5.4531618207289085
265,7.672558014838232,7.554269727741922
266,1.6627804977152578,-1.1340381243063122
267,7.150034163622839,6.076745709815026
268,8.957241255936093,6.583650208456478
269,0.28204438688324135,-6.458269577050399
270,1.9944444799777667,0.6468640080636248
